student_name,current_grade,read_eqao_03,write_eqao_03,math_eqao_03,read_eqao_06,write_eqao_06,math_eqao_06,Mathematics_07,Reading_07,Writing_07,Mathematics_08,Reading_08,Writing_08,math_eqao_09,Language_09,Mathematics_09,Language_10,Mathematics_10,Language_11,Mathematics_11,EQAO_Math_Program
William Collins,11,3,4,4,1,4,4,33,53,31,90,13,76,1,62,83,43,76,70,31,Academic
Scott Miller,9,2,3,3,0,0,5,36,24,20,93,46,90,0,4,62,24,4,66,76,Academic
Rick Harris,9,2,4,4,3,0,3,25,20,4,51,67,33,3,9,1,59,32,66,8,Academic
Alfred Ramirez,10,2,5,0,2,2,5,17,42,42,81,62,74,2,89,23,27,96,86,22,Academic
James Burgos,8,1,2,1,5,5,5,99,1,16,22,7,96,5,88,80,6,47,51,96,
Marie Chaisson,9,3,0,3,2,4,5,99,67,33,8,51,73,2,74,85,33,20,76,20,Academic
Roberta Draudt,11,5,5,1,4,2,0,72,52,16,52,13,64,4,76,24,87,90,24,33,Academic
Lucy Sandmann,11,0,1,0,4,1,3,3,8,69,61,92,97,4,63,29,69,25,82,98,Academic
Samuel Stepp,9,2,2,4,3,5,2,50,15,49,28,96,69,3,33,27,85,96,37,83,Academic
Rebecca Melendez,11,4,5,3,4,3,0,52,37,41,4,98,1,4,15,11,39,12,63,12,Academic
Lorenza Taylor,9,3,1,0,4,0,4,54,16,18,28,0,90,4,36,37,90,70,36,90,Academic
Tami Fusco,11,5,1,4,1,3,4,84,32,28,73,45,6,1,29,12,57,42,28,36,Academic
Veronica Calloway,9,2,0,1,5,3,4,19,4,53,39,68,36,5,39,48,29,84,18,7,Academic
Robert Hicks,11,2,5,4,3,5,1,95,40,10,62,90,58,3,60,45,51,15,34,77,Academic
Yvette Glazer,10,2,3,5,0,2,2,73,39,8,53,92,6,0,55,80,7,8,11,67,Academic
Gary Bowman,8,2,3,5,0,3,5,38,51,10,9,60,64,0,35,11,22,63,78,20,
Johnathan Guerrero,8,0,5,0,0,1,3,78,0,83,57,29,79,0,48,36,29,22,97,12,
Sue Lockett,9,3,0,2,0,2,5,73,33,33,16,17,76,0,73,67,13,54,93,92,Academic
Jared Foley,10,1,4,3,0,1,1,66,76,97,53,73,19,0,8,89,65,9,4,22,Academic
Walter Perris,10,5,5,2,3,5,1,90,0,33,60,27,90,3,21,17,5,18,63,21,Academic
Maria Crittle,8,1,5,5,4,4,0,13,12,14,63,95,36,4,1,30,15,8,31,69,
Thomas Martins,12,0,2,2,0,2,4,92,75,39,8,74,11,0,48,69,30,50,64,53,Academic
Juanita Gianotti,10,0,3,0,5,5,3,69,42,47,53,21,59,5,63,52,27,21,29,70,Academic
Jenny Buchanan,9,1,2,1,1,1,3,48,45,96,84,33,41,1,70,62,43,66,26,59,Academic
Nellie Davis,12,2,0,0,5,4,3,64,57,19,20,36,59,5,6,23,60,27,73,2,Academic
Vincent Fields,8,3,3,0,3,0,4,47,39,58,53,88,93,3,22,56,2,4,45,52,
Douglas Schooley,8,2,2,5,1,5,5,21,33,66,35,85,85,1,26,88,68,32,19,86,
Patricia Ledford,10,3,2,1,0,4,4,94,86,45,60,16,13,0,40,45,43,36,66,38,Academic
David Morrissey,8,1,2,3,2,5,2,87,76,42,77,22,38,2,35,67,60,26,31,19,
Alan Wallace,8,1,0,5,1,2,5,43,10,63,92,56,22,1,4,95,38,70,30,82,
Lisa Fischer,9,5,3,0,0,2,3,55,61,62,99,40,26,0,23,93,14,85,69,26,Academic
Wendy Curiel,12,4,1,5,3,3,1,41,73,82,5,96,88,3,89,81,39,28,87,84,Academic
Belinda Mccormick,9,5,5,5,3,4,0,13,34,89,67,81,68,3,36,80,50,18,30,60,Academic
Pat Meddaugh,11,3,4,0,0,3,1,89,12,65,53,41,20,0,60,18,74,95,54,17,Academic
Eddie Mahon,10,4,0,4,1,4,4,27,99,6,45,90,1,1,85,18,11,64,14,59,Academic
Adelina Blythe,9,2,2,3,1,4,3,94,78,51,17,10,7,1,53,92,90,70,24,13,Academic
Lois Zane,10,0,2,3,3,0,3,86,18,89,35,96,95,3,16,10,2,72,70,41,Academic
Rita Yates,9,3,0,3,0,0,0,45,17,39,63,22,74,0,61,55,79,3,68,43,Academic
Shaun Bicknese,12,5,1,4,2,1,4,86,18,49,35,71,51,2,22,26,61,31,43,55,Academic
Gary Parisi,12,4,0,0,3,2,2,15,9,19,23,36,61,3,4,89,5,84,17,80,Academic
Pat Nealy,11,0,1,2,2,1,5,59,18,25,0,90,35,2,72,48,82,80,99,99,Academic
Elizabeth Stuer,10,2,3,4,3,2,4,87,41,1,69,15,93,3,97,47,36,90,35,89,Academic
Jay Artman,9,3,3,1,1,5,0,95,50,5,82,6,40,1,88,14,69,13,83,2,Academic
David Perez,12,0,2,2,3,3,0,50,87,27,24,22,91,3,18,24,92,53,67,26,Academic
Antonio Bergeron,11,2,3,3,3,3,5,76,95,25,71,35,13,3,54,8,75,6,81,0,Academic
Vicky Todd,11,0,3,3,5,5,0,50,27,83,64,27,81,5,50,73,87,98,58,78,Academic
Richard Montgomery,8,4,2,3,2,1,1,81,62,75,36,60,95,2,38,42,9,18,99,70,
Thomas Mangrum,12,0,5,1,5,3,3,84,78,55,40,80,98,5,96,76,36,37,84,92,Academic
Daniel Crawford,8,4,0,0,4,3,1,43,57,6,42,8,52,4,8,54,41,3,65,21,
Kathleen Nutter,12,1,1,5,3,0,0,90,87,94,48,40,47,3,95,22,79,25,66,48,Academic
Sherry Hatton,9,2,3,5,5,5,0,44,14,10,58,83,27,5,1,25,18,81,87,45,Academic
Julia Lovato,10,0,4,1,5,2,3,39,33,47,37,59,65,5,23,76,28,73,20,76,Academic
Joseph Landry,11,2,0,1,2,4,3,16,71,12,11,55,4,2,17,92,55,68,28,53,Academic
Mary Durham,10,5,2,1,4,4,5,63,15,45,55,25,59,4,64,3,20,94,84,68,Academic
Krista Krawczyk,8,3,4,0,3,4,2,90,17,48,60,3,18,3,85,15,98,67,55,78,
Annie Johnson,8,4,5,4,2,3,2,61,51,31,3,95,61,2,29,34,63,77,17,83,
Nancy Bryant,11,3,4,0,1,3,1,51,99,96,82,73,94,1,61,46,38,93,14,89,Academic
Samuel Catalano,11,4,1,2,2,2,0,56,18,25,47,37,48,2,42,78,26,34,11,70,Academic
Danny Omar,9,5,5,1,0,1,1,38,62,95,81,62,34,0,27,13,1,85,62,91,Academic
Harriet Ramirez,8,3,4,1,1,5,4,31,38,59,75,69,23,1,33,2,94,42,86,6,
John Taylor,11,2,4,1,0,1,2,62,96,96,90,19,69,0,81,6,85,49,0,35,Academic
Lawrence Rollins,8,1,4,2,4,1,5,68,47,60,57,92,41,4,59,20,91,38,44,83,
Helen Lantz,9,4,5,1,1,2,3,72,21,5,39,47,48,1,69,65,93,3,61,55,Academic
Richard Garland,9,2,4,2,1,2,1,94,4,49,8,25,32,1,68,56,44,65,5,85,Academic
Richard Garcia,9,4,5,2,0,3,5,58,70,63,45,67,36,0,15,88,60,64,8,59,Academic
Theresa Satterwhite,9,4,5,0,5,0,5,23,95,88,21,71,97,5,72,61,47,67,98,71,Academic
Alexander Holmes,8,3,2,2,5,2,5,17,3,45,20,89,78,5,15,46,21,38,83,30,
Samantha Anderson,8,3,0,4,3,1,4,40,67,77,21,72,29,3,29,43,56,1,1,82,
Patricia White,11,3,0,2,2,1,5,76,79,16,46,82,16,2,6,58,60,96,53,76,Academic
George Chapman,10,4,2,4,4,3,1,82,97,17,4,84,98,4,55,79,44,75,18,92,Academic
Solomon Peachey,11,0,5,3,1,2,1,86,17,77,40,12,94,1,1,14,15,73,3,23,Academic
Gregory Neace,11,4,0,5,1,0,2,55,31,40,19,10,95,1,23,40,67,53,37,97,Academic
Kathy Landaker,9,1,4,0,0,5,2,49,44,32,55,29,91,0,42,69,61,1,9,81,Academic
Marie Anderson,9,0,0,4,0,4,0,89,97,65,59,30,21,0,59,49,31,24,69,8,Academic
Cynthia Pena,12,0,0,5,1,5,0,40,50,18,6,84,53,1,4,40,87,29,31,57,Academic
Viola Mclean,8,2,0,3,2,5,3,4,60,5,1,23,34,2,44,84,58,44,91,73,
Carol Lamb,10,5,1,4,2,2,3,14,33,14,58,96,23,2,21,77,77,8,16,69,Academic
Leilani Acosta,9,5,5,0,3,2,4,32,53,17,48,99,25,3,7,26,18,97,72,83,Academic
James Meadows,12,3,2,3,4,2,4,80,22,81,72,37,37,4,82,54,78,96,91,53,Academic
Maria Thixton,9,2,0,2,0,1,5,43,31,96,52,8,78,0,93,82,74,32,35,35,Academic
Michael Heckstall,9,3,0,3,4,0,4,89,1,67,5,76,85,4,81,41,19,65,71,12,Academic
Mildred Hogan,10,4,4,2,2,0,0,91,56,94,41,90,80,2,37,42,40,11,80,56,Academic
Malcolm Piper,8,5,1,2,2,5,4,73,60,78,68,58,16,2,7,5,56,65,84,22,
Ralph Hayes,9,1,1,5,3,1,0,78,93,48,50,88,34,3,63,31,51,99,80,93,Academic
Garth Draughn,12,2,2,0,3,5,2,28,64,49,98,78,3,3,6,36,21,81,59,62,Academic
Olga Moore,8,0,5,5,0,3,5,8,78,94,99,27,30,0,27,30,12,63,45,23,
Julius Porter,12,2,3,5,0,4,0,43,69,87,98,92,6,0,65,31,65,29,87,86,Academic
Jorge Green,8,2,0,2,1,5,3,82,13,1,62,73,74,1,98,21,16,32,10,6,
Joanne Bullock,8,2,3,1,5,3,5,33,86,65,48,95,6,5,86,98,49,41,5,38,
Jane Brown,11,2,4,3,1,3,0,40,30,47,69,61,13,1,88,14,96,7,49,8,Academic
Debbie Moody,9,2,5,5,4,5,1,97,67,89,12,77,79,4,84,41,12,88,30,6,Academic
Joe Jackson,10,5,1,3,4,0,3,83,23,44,42,76,93,4,91,93,44,23,79,8,Academic
Beatrice Tabisula,8,3,2,3,2,5,4,24,86,97,75,49,54,2,57,9,20,74,74,21,
Madie Paduano,9,0,3,1,1,4,3,82,38,36,61,44,92,1,34,75,43,36,94,82,Academic
William Jones,10,3,4,0,2,0,5,58,45,66,7,5,12,2,76,2,69,56,38,40,Academic
Stephanie Jackson,11,0,1,1,0,3,0,10,96,12,75,0,25,0,24,30,8,94,36,69,Academic
Cynthia Wilson,11,3,3,2,2,3,1,0,70,83,29,62,92,2,73,86,39,22,50,76,Academic
Sherryl Jenkins,10,0,1,2,2,4,2,95,75,89,99,48,93,2,69,48,15,56,14,4,Academic
Tammy Lomax,10,2,0,3,0,2,1,21,58,65,2,2,4,0,77,15,27,43,10,71,Academic
Rosalinda Warnock,12,5,2,1,0,3,3,87,80,11,70,96,1,0,23,24,37,3,16,95,Academic
Francisco Brashear,12,1,5,3,3,0,2,33,89,88,60,70,66,3,21,40,88,99,21,8,Academic
John Chase,10,4,2,1,4,3,1,40,86,18,3,1,98,4,13,80,23,12,81,39,Academic
Jamal Maynard,11,3,2,0,2,4,4,48,95,94,37,26,95,2,17,17,84,49,21,38,Academic
Michael Frost,11,1,2,3,5,4,4,99,31,24,42,1,94,5,14,35,37,16,60,21,Academic
Erin Walker,8,5,4,5,3,1,3,19,37,8,28,54,19,3,45,84,83,63,35,68,
Michelle Mueller,10,4,2,4,5,0,5,53,56,83,53,76,59,5,90,69,28,54,31,68,Academic
Asia Cobb,12,5,5,5,2,3,5,69,51,85,92,29,10,2,27,3,42,48,8,44,Academic
Paris Hubbard,9,3,1,3,2,5,2,97,82,88,68,22,36,2,98,1,46,22,70,6,Academic
Jennie Cardwell,12,1,4,5,2,5,3,39,17,19,10,46,24,2,52,55,52,39,87,44,Academic
Silas Anderson,12,5,3,4,2,0,1,68,57,26,80,2,63,2,37,27,91,5,38,20,Academic
Jonathan Patterson,11,5,0,2,3,0,5,15,64,12,40,78,22,3,71,65,69,74,11,82,Academic
Leigh Garcia,9,4,2,2,0,3,5,52,31,14,13,96,75,0,86,55,72,94,1,74,Academic
Amber Baum,11,5,0,3,0,2,1,6,83,19,90,86,19,0,41,96,59,2,32,63,Academic
Andrew Mccalley,8,0,3,3,2,1,4,25,77,83,32,98,77,2,57,11,30,64,15,95,
Michael Epstein,10,2,2,1,3,3,2,30,51,54,83,28,23,3,39,52,58,39,26,25,Academic
Joesph Madison,8,3,1,4,5,3,5,24,43,3,57,29,77,5,90,85,43,88,62,83,
Anthony Ralls,10,1,2,0,4,2,3,84,44,5,32,72,97,4,88,43,12,19,62,12,Academic
Kenneth Kaelker,12,0,2,1,2,0,5,57,39,81,71,77,50,2,79,84,45,77,71,2,Academic
Emily Bledsoe,10,5,4,3,4,3,5,71,50,78,98,76,17,4,96,52,87,45,76,84,Academic
Roger Meyers,8,4,4,2,4,0,0,3,47,64,19,60,97,4,71,31,30,1,8,96,
Linda Day,11,0,3,0,1,4,5,10,55,40,4,88,92,1,63,61,76,6,38,92,Academic
Rose Fraser,11,1,2,3,5,3,0,72,24,52,85,31,80,5,22,43,49,43,65,21,Academic
Robert Thompson,8,5,0,0,4,4,4,99,41,51,70,71,86,4,20,33,26,65,74,19,
John Bailey,12,3,2,4,5,5,1,63,52,46,74,72,21,5,15,36,66,95,88,86,Academic
Brandon Holt,8,3,3,3,1,5,4,11,26,13,74,23,49,1,22,95,35,49,77,7,
Van Moore,8,2,3,1,1,2,3,73,46,14,13,67,39,1,77,30,15,36,69,20,
Armand Graczyk,8,5,1,1,3,2,4,4,98,6,68,52,78,3,84,35,95,65,18,41,
Dina Lobel,10,4,1,5,1,2,5,32,87,90,30,84,48,1,71,76,67,10,1,24,Academic
Paula Upson,12,1,3,2,3,0,0,6,36,80,11,15,10,3,62,33,87,44,31,76,Academic
Gerald Benzi,11,5,3,5,3,3,1,17,39,13,77,22,68,3,27,8,27,51,37,69,Academic
Patricia Adank,10,5,4,1,0,3,2,80,36,35,7,74,77,0,39,20,97,9,74,48,Academic
Annette Polzin,12,2,0,5,0,3,5,62,94,19,88,75,95,0,94,86,36,40,16,29,Academic
Kelly Walker,8,1,3,5,0,5,4,93,53,22,12,15,30,0,14,69,33,71,4,40,
Tisha Anderson,10,4,1,4,3,0,4,15,54,90,36,39,60,3,84,34,76,34,94,10,Academic
Phyllis Perry,12,3,4,0,3,3,0,57,50,71,9,33,25,3,56,21,42,63,56,49,Academic
Linda Gibson,9,0,5,1,5,1,0,3,30,60,39,30,80,5,86,46,48,52,66,90,Academic
Raymond Cardamone,12,3,3,5,1,5,0,73,86,96,73,59,56,1,75,91,87,11,2,95,Academic
Stacey Hamilton,9,3,4,1,1,5,0,86,44,42,5,7,74,1,14,29,4,12,25,82,Academic
Ronnie Henley,12,5,4,2,1,0,0,11,10,78,59,19,89,1,10,25,89,47,17,66,Academic
Brandon Quarles,8,5,2,5,0,0,3,77,6,68,70,70,36,0,16,80,42,56,33,9,
Mary Todd,11,0,4,4,5,0,1,91,43,54,43,1,95,5,77,72,48,96,96,91,Academic
Marianna Martin,9,0,5,2,3,0,3,99,59,37,91,6,1,3,68,37,54,85,70,82,Academic
James Romero,9,0,0,0,2,1,1,29,3,45,37,29,67,2,17,26,87,1,72,62,Academic
Susan Slagle,9,3,1,2,0,2,2,95,65,43,5,57,34,0,34,34,96,22,94,26,Academic
Thomas Shubert,12,3,0,0,4,2,1,50,67,57,98,56,33,4,27,16,98,14,17,33,Academic
Stephen Limon,12,0,0,3,0,2,0,90,4,9,87,0,18,0,62,81,57,37,31,74,Academic
Linda Hunter,8,2,0,0,3,1,0,0,67,31,47,3,89,3,45,91,4,32,52,50,
Kenneth Gruber,10,5,1,4,2,5,3,74,27,8,2,12,88,2,46,39,20,72,3,32,Academic
Joseph Bell,9,1,0,1,3,2,2,76,32,89,77,59,40,3,62,80,74,17,81,63,Academic
Viola Dix,12,4,2,3,1,5,5,13,60,81,12,70,8,1,95,22,50,21,83,81,Academic
Diane Hudson,10,1,1,3,2,3,2,43,29,34,33,0,24,2,39,83,32,0,35,25,Academic
Barbara Lee,8,5,2,3,5,5,4,72,57,59,21,21,33,5,37,67,13,54,13,37,
Rafael Antolin,9,3,3,2,4,4,5,10,89,11,30,43,92,4,1,16,46,86,50,9,Academic
Craig Gayman,12,5,0,1,4,3,3,30,25,7,75,28,45,4,92,93,27,49,99,72,Academic
Regina Mcleary,11,5,5,3,4,5,3,92,71,49,43,92,18,4,35,93,85,81,43,43,Academic
William Wilson,11,2,3,3,0,2,1,63,57,55,70,17,5,0,33,1,96,55,44,40,Academic
Bertha Quirk,9,2,5,0,4,1,2,92,80,67,32,24,30,4,96,1,89,55,95,97,Academic
Crystal Lewis,8,4,5,1,3,3,2,18,70,97,28,0,37,3,49,9,23,74,46,44,
Ray Blake,11,2,3,3,3,3,2,85,84,48,86,53,45,3,25,3,33,73,0,44,Academic
Pamela Lowe,8,5,3,4,3,4,4,16,47,78,65,90,96,3,42,47,22,85,19,57,
Brandy Huynh,12,5,0,1,3,0,3,5,19,75,80,66,85,3,59,43,73,20,65,57,Academic
Eileen Magee,11,2,5,0,1,3,2,33,53,77,68,64,2,1,10,66,89,99,89,74,Academic
Norene Spivey,12,3,5,1,5,2,0,30,19,19,24,7,7,5,25,87,25,12,57,77,Academic
Gary Blackman,9,0,3,4,0,1,0,79,84,42,82,93,16,0,32,36,9,59,79,54,Academic
Bonnie Veilleux,9,0,4,4,2,0,2,53,8,98,58,67,98,2,60,26,81,2,91,57,Academic
Martha Sims,12,0,0,1,5,4,3,39,33,25,61,8,38,5,45,94,57,55,33,66,Academic
Karen Toft,9,4,0,1,4,3,1,36,34,94,88,87,36,4,98,26,51,59,84,32,Academic
Stacy Garrison,12,5,1,2,0,4,1,3,24,42,43,82,8,0,85,68,45,33,96,25,Academic
Tony Nakagawa,12,0,2,4,4,4,1,8,89,49,12,2,39,4,68,76,66,95,2,8,Academic
Hermine Bennett,10,0,0,4,1,2,0,59,49,58,7,31,96,1,15,3,99,40,8,5,Academic
Yvonne Mulford,9,5,2,1,4,0,4,25,97,3,47,55,84,4,92,10,24,84,65,85,Academic
Maria Sea,8,0,5,4,5,1,2,99,72,17,10,21,57,5,12,74,58,11,46,66,
Bradford Carnes,8,4,4,0,2,0,1,42,78,98,13,24,75,2,48,0,13,26,52,60,
Mildred Gualtieri,9,5,5,3,2,3,2,11,43,21,28,47,90,2,10,4,41,56,21,13,Academic
Carol Wallace,9,4,4,2,2,4,0,69,55,89,21,29,8,2,82,11,38,65,28,11,Academic
Susan Riddick,10,1,5,3,1,3,0,80,98,2,58,32,20,1,39,53,45,50,33,61,Academic
George Garrett,10,2,5,2,1,5,2,70,62,78,86,65,87,1,4,10,61,85,46,19,Academic
Christopher Leith,8,1,2,1,5,5,4,88,34,63,69,70,38,5,70,40,87,7,13,51,
Thomas Burton,12,2,3,4,0,3,5,53,89,1,63,35,87,0,33,28,35,37,47,88,Academic
Micheal Saunders,11,2,5,3,0,0,4,4,2,39,96,19,13,0,79,58,98,38,86,95,Academic
Ronny Cassano,8,4,4,3,0,4,5,62,67,40,82,49,18,0,20,5,35,53,46,44,
Burl Ladner,10,0,5,3,5,3,0,18,90,17,87,23,22,5,17,44,33,71,57,3,Academic
Laura Parker,8,2,3,5,1,0,1,72,24,77,61,28,77,1,43,67,44,50,81,46,
Phil Dunn,10,3,3,4,4,3,1,58,13,53,2,68,14,4,17,49,75,86,20,33,Academic
Betty Green,9,5,5,4,1,3,3,95,85,31,86,4,92,1,72,97,25,80,94,12,Academic
Shannon Parkman,11,0,5,1,3,2,1,12,71,10,3,22,7,3,10,74,75,73,55,1,Academic
Jon Cummins,12,5,4,5,3,3,5,27,68,31,64,13,85,3,51,24,39,79,29,59,Academic
Kayce Ortega,8,0,4,2,1,2,5,57,48,76,53,71,66,1,31,43,8,57,53,16,
Cindy Harrison,10,3,1,1,2,2,2,35,73,17,71,50,83,2,81,72,41,83,14,68,Academic
William Mckeane,12,5,0,0,1,0,5,9,93,19,3,16,8,1,63,62,64,53,38,24,Academic
Carol Wheeler,11,3,3,4,0,5,3,55,20,44,68,95,66,0,42,96,97,40,47,60,Academic
Xiomara Guy,10,0,2,1,5,3,3,80,24,74,22,47,6,5,26,50,58,59,91,46,Academic
John Dillard,9,0,5,3,2,1,4,4,62,14,19,35,91,2,52,78,32,35,6,28,Academic
Rafael Reyna,12,0,3,4,0,1,5,65,65,27,85,62,84,0,85,57,80,46,70,10,Academic
Barbara Leddy,8,1,4,0,0,5,3,95,77,31,9,57,32,0,56,64,75,56,67,28,
Sarah Flores,12,3,5,5,3,1,1,62,19,82,30,63,99,3,35,14,62,23,23,26,Academic
Elbert Rein,8,3,2,3,0,4,0,68,82,32,42,84,71,0,57,80,14,52,51,84,
Brittany Doi,9,4,1,2,3,0,3,63,85,50,40,90,65,3,52,78,74,21,55,45,Academic
Ryan Barlow,11,1,3,5,4,0,2,13,21,53,81,25,15,4,5,73,92,63,36,80,Academic
Christine Colson,8,5,1,3,0,1,0,82,73,49,13,64,13,0,80,25,20,32,14,52,
Ryan Smith,11,2,4,3,3,1,5,12,34,22,5,54,77,3,28,13,13,84,23,49,Academic
Gary Hinson,12,4,2,3,4,5,4,92,92,16,54,5,30,4,17,91,18,5,60,58,Academic
Agnes Caudill,10,0,0,5,1,1,2,23,69,98,94,32,0,1,62,16,49,36,24,26,Academic
Mohammed Bland,12,5,0,0,1,2,5,6,84,25,3,79,99,1,66,94,5,43,94,23,Academic
Katy Quinn,10,3,3,4,2,2,2,61,3,42,86,91,43,2,34,46,83,56,33,48,Academic
John Robinson,10,3,1,4,2,1,2,2,42,9,9,38,78,2,35,63,57,55,63,19,Academic
Wesley Amend,11,3,0,5,4,5,5,47,74,54,53,35,35,4,55,2,43,39,15,43,Academic
Joseph Patterson,9,1,1,1,2,3,0,84,61,78,41,26,69,2,97,57,97,89,8,2,Academic
Thomas Falcon,10,5,3,5,3,1,3,79,0,83,72,90,28,3,37,85,35,78,88,37,Academic
Stephen Mooney,10,2,3,3,0,5,1,66,59,62,95,29,41,0,98,55,84,88,73,74,Academic
William Brickey,11,0,4,5,0,5,2,82,15,58,67,13,64,0,56,21,89,52,87,18,Academic
Teresa Hickman,8,1,2,3,0,0,4,64,53,66,85,69,41,0,2,85,36,63,85,93,
Beatrice Micks,10,3,4,4,2,0,1,22,12,85,14,7,52,2,1,72,80,66,39,34,Academic
Elouise Paris,11,3,5,2,3,4,3,53,16,10,66,70,95,3,1,30,56,38,64,31,Academic
Jerry Zeno,12,1,0,3,5,2,3,41,23,71,42,47,6,5,43,46,11,59,55,14,Academic
Cora Crum,11,2,4,4,1,2,1,7,75,59,94,36,67,1,1,50,73,17,13,57,Academic
Virgil Ruiz,9,2,2,4,1,0,4,90,13,44,82,67,46,1,19,44,35,48,10,17,Academic
Larry Lee,12,3,4,1,2,3,4,49,39,36,71,54,87,2,93,15,17,8,45,16,Academic
Cathy Summers,8,3,1,3,0,1,2,16,68,37,56,85,40,0,77,71,46,36,40,96,
Donald Freeman,11,1,2,5,0,0,3,6,87,90,97,45,36,0,97,11,18,81,51,93,Academic
Brian Jones,11,1,1,3,2,5,4,98,13,98,30,27,14,2,30,71,50,62,97,97,Academic
Philip Tharp,10,1,3,1,2,4,3,91,46,26,18,47,83,2,64,22,56,51,54,50,Academic
Shirley Willis,11,0,0,1,1,2,5,49,3,79,42,52,70,1,8,10,24,47,85,74,Academic
Latoya Nelson,12,5,3,0,1,2,0,65,22,95,0,15,86,1,1,23,83,94,45,86,Academic
Seth Embree,8,2,0,4,0,5,4,70,52,48,33,37,29,0,39,88,97,42,22,22,
Douglas Landry,11,2,0,5,0,1,1,85,13,19,92,69,78,0,40,20,52,60,47,9,Academic
James Love,8,0,2,5,2,4,0,33,6,8,18,81,78,2,60,5,25,95,30,16,
Marjorie Berkley,8,2,0,2,3,5,0,61,41,99,22,39,54,3,85,35,23,19,33,37,
Peggy Coffman,11,0,0,3,3,3,3,6,67,5,43,34,38,3,1,62,5,64,14,70,Academic
Norma Thompson,10,2,1,3,3,5,4,15,8,50,40,4,59,3,34,67,88,46,34,12,Academic
Joan Dodge,9,4,3,5,2,1,4,17,2,59,63,30,96,2,86,94,44,43,10,52,Academic
Keith Frohling,8,0,0,3,4,2,4,88,57,37,25,94,90,4,70,43,23,10,24,60,
Dennis Boston,9,3,3,0,5,2,1,71,18,9,88,79,86,5,49,99,25,75,48,96,Academic
Robert Horne,11,4,5,5,2,0,3,2,35,88,79,61,67,2,56,22,84,60,14,90,Academic
Clifford Whiteman,12,2,5,0,0,5,5,91,57,19,70,66,30,0,25,19,76,49,86,40,Academic
Nikki Fitz,11,2,2,4,3,5,2,92,94,93,13,3,27,3,80,33,65,78,21,42,Academic
John Lash,12,2,0,4,5,3,4,78,2,77,13,69,96,5,90,84,37,13,31,32,Academic
Larry Bohannan,10,2,1,3,2,0,3,13,10,81,94,17,24,2,75,40,16,51,8,5,Academic
Nathanial Enriquez,10,1,1,1,5,3,1,53,4,67,40,58,47,5,6,43,10,83,48,35,Academic
Ann Fernandez,9,5,1,1,1,5,5,50,59,21,66,92,86,1,73,83,12,70,88,24,Academic
